date,mkt_rf,smb,hml,umd,rf
1945-06-01,0.0039000000000000003,0.031200000000000002,0.0421,0.0414,2e-4
1945-07-01,-0.0217,-0.0152,-0.0262,-0.027000000000000003,3e-4
1945-08-01,0.062,0.015,-0.042699999999999995,-0.0131,3e-4
1945-09-01,0.04769999999999999,0.017,0.0042,0.0125,3e-4
1945-10-01,0.038900000000000004,0.023799999999999998,0.0213,0.0012,3e-4
1945-11-01,0.053899999999999997,0.0431,0.039599999999999996,0.041100000000000005,2e-4
1945-12-01,0.012,0.021,-0.022799999999999997,0.0125,3e-4
1946-01-01,0.062400000000000004,0.0391,0.0248,0.0378,3e-4
1946-02-01,-0.0583,-0.0070999999999999995,-0.0146,-0.0144,3e-4
1946-03-01,0.0587,0.0029,-0.0054,0.0268,3e-4
1946-04-01,0.042300000000000004,0.0235,0.0032,0.0298,3e-4
1946-05-01,0.0393,0.0146,0.0128,-0.0046,3e-4
1946-06-01,-0.038900000000000004,-0.0158,-0.0039000000000000003,-0.025,3e-4
1946-07-01,-0.0269,-0.0207,7.000000000000001e-4,-2e-4,3e-4
1946-08-01,-0.0644,-0.0184,0.0055000000000000005,-4e-4,3e-4
1946-09-01,-0.1017,-0.044000000000000004,-0.0192,0.0074,3e-4
1946-10-01,-0.0144,0.001,0.0346,0.0103,3e-4
1946-11-01,-1e-4,-0.0044,0.0147,0.0019,3e-4
1946-12-01,0.0496,8e-4,-0.013600000000000001,-8e-4,3e-4
1947-01-01,0.0125,0.022000000000000002,-0.0073,-0.0636,3e-4
1947-02-01,-0.0108,0.0068000000000000005,0.0015,-0.0052,3e-4
1947-03-01,-0.0167,-0.016200000000000003,0.0060999999999999995,0.041299999999999996,3e-4
1947-04-01,-0.048,-0.039599999999999996,0.0085,0.0499,3e-4
1947-05-01,-0.0097,-0.0326,0.0033,0.0334,3e-4
1947-06-01,0.0529,-0.003,-0.0059,-0.0167,3e-4
1947-07-01,0.0414,0.0143,0.0282,-0.034300000000000004,3e-4
1947-08-01,-0.0174,0.0032,0.0018,0.0333,3e-4
1947-09-01,-0.0054,0.016399999999999998,0.013600000000000001,1e-4,6e-4
1947-10-01,0.024700000000000003,0.0051,7.000000000000001e-4,0.015700000000000002,6e-4
1947-11-01,-0.0197,-0.0171,0.011000000000000001,0.042699999999999995,6e-4
1947-12-01,0.03,-0.0246,0.0371,0.0362,8e-4
1948-01-01,-0.0393,0.025,0.0139,-0.043,7.000000000000001e-4
1948-02-01,-0.0438,-0.0172,7.000000000000001e-4,0.0144,7.000000000000001e-4
1948-03-01,0.08070000000000001,0.0014000000000000002,0.045,-0.0031,9e-4
1948-04-01,0.0365,-0.0165,0.041100000000000005,0.0409,8e-4
1948-05-01,0.073,0.0091,-0.0127,0.023,8e-4
1948-06-01,-0.001,-0.0182,0.0281,0.0408,9e-4
1948-07-01,-0.0509,-0.0033,0.0014000000000000002,-0.0161,8e-4
1948-08-01,0.0025,-0.0111,0.0028000000000000004,0.0023,9e-4
1948-09-01,-0.0297,-0.0123,-0.0171,-0.0131,4e-4
1948-10-01,0.0596,-0.015,0.0058,0.027999999999999997,4e-4
1948-11-01,-0.09300000000000001,-0.006,-0.041299999999999996,0.0054,4e-4
1948-12-01,0.0326,-0.0282,-0.0194,0.0463,4e-4
1949-01-01,0.0023,0.0177,0.0123,-0.028999999999999998,0.001
1949-02-01,-0.029300000000000003,-0.019,-0.0086,-0.0040999999999999995,9e-4
1949-03-01,0.0404,0.025,0.0129,-0.009399999999999999,0.001
1949-04-01,-0.0187,-0.0089,-0.0113,0.031,9e-4
1949-05-01,-0.0294,-0.0079,-0.023700000000000002,0.0298,0.001
1949-06-01,0.001,-0.0091,-0.0165,-0.0106,0.001
1949-07-01,0.0554,0.0055000000000000005,0.0037,-0.0149,9e-4
